Namespace(exp_name='dgcnn_1024_1', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 0, loss: 2.772268, train acc: 0.440757, train avg acc: 0.258622
Test 0, loss: 2.249207, test acc: 0.605348, test avg acc: 0.453738
Train 1, loss: 2.200820, train acc: 0.641796, train avg acc: 0.459964
Test 1, loss: 2.016090, test acc: 0.723663, test avg acc: 0.596645
Train 2, loss: 2.031260, train acc: 0.712032, train avg acc: 0.555776
Test 2, loss: 1.915581, test acc: 0.767423, test avg acc: 0.676192
Train 3, loss: 1.942758, train acc: 0.749593, train avg acc: 0.617244
Test 3, loss: 1.740368, test acc: 0.831037, test avg acc: 0.725035
Train 4, loss: 1.889738, train acc: 0.775550, train avg acc: 0.652837
Test 4, loss: 1.795915, test acc: 0.798622, test avg acc: 0.687948
Train 5, loss: 1.840946, train acc: 0.791735, train avg acc: 0.678368
Test 5, loss: 1.728124, test acc: 0.831442, test avg acc: 0.753663
Train 6, loss: 1.816403, train acc: 0.806393, train avg acc: 0.697388
Test 6, loss: 1.721035, test acc: 0.833468, test avg acc: 0.736547
Train 7, loss: 1.784606, train acc: 0.812907, train avg acc: 0.704628
Test 7, loss: 1.674007, test acc: 0.854943, test avg acc: 0.786029
Train 8, loss: 1.762682, train acc: 0.829296, train avg acc: 0.732591
Test 8, loss: 1.659995, test acc: 0.854943, test avg acc: 0.760558
Train 9, loss: 1.750692, train acc: 0.831840, train avg acc: 0.737839
Test 9, loss: 1.683011, test acc: 0.850486, test avg acc: 0.776122
Train 10, loss: 1.739387, train acc: 0.838966, train avg acc: 0.751741
Test 10, loss: 1.645591, test acc: 0.867909, test avg acc: 0.799180
Train 11, loss: 1.721501, train acc: 0.847822, train avg acc: 0.763316
Test 11, loss: 1.632638, test acc: 0.868720, test avg acc: 0.802023
Train 12, loss: 1.710587, train acc: 0.850366, train avg acc: 0.768126
Test 12, loss: 1.596933, test acc: 0.891410, test avg acc: 0.821471
Train 13, loss: 1.690754, train acc: 0.854336, train avg acc: 0.770681
Test 13, loss: 1.592556, test acc: 0.882901, test avg acc: 0.807430
Train 14, loss: 1.675650, train acc: 0.866042, train avg acc: 0.790013
Test 14, loss: 1.697203, test acc: 0.833874, test avg acc: 0.763262
Train 15, loss: 1.671640, train acc: 0.864210, train avg acc: 0.790652
Test 15, loss: 1.678836, test acc: 0.853728, test avg acc: 0.822843
Train 16, loss: 1.666560, train acc: 0.869300, train avg acc: 0.795189
Test 16, loss: 1.582758, test acc: 0.890194, test avg acc: 0.835558
Train 17, loss: 1.657344, train acc: 0.871132, train avg acc: 0.804170
Test 17, loss: 1.573726, test acc: 0.887358, test avg acc: 0.820831
Train 18, loss: 1.654633, train acc: 0.873168, train avg acc: 0.803113
Test 18, loss: 1.631809, test acc: 0.864263, test avg acc: 0.791651
Train 19, loss: 1.644725, train acc: 0.877443, train avg acc: 0.809441
Test 19, loss: 1.584674, test acc: 0.880470, test avg acc: 0.816756
Train 20, loss: 1.640131, train acc: 0.877545, train avg acc: 0.810398
Test 20, loss: 1.588680, test acc: 0.891410, test avg acc: 0.822930
Train 21, loss: 1.629684, train acc: 0.880904, train avg acc: 0.811375
Test 21, loss: 1.596775, test acc: 0.877634, test avg acc: 0.827366
Train 22, loss: 1.631240, train acc: 0.880599, train avg acc: 0.815829
Test 22, loss: 1.565510, test acc: 0.897488, test avg acc: 0.848843
Train 23, loss: 1.626395, train acc: 0.877647, train avg acc: 0.808674
Test 23, loss: 1.590933, test acc: 0.891005, test avg acc: 0.828419
Train 24, loss: 1.625310, train acc: 0.883652, train avg acc: 0.822159
Test 24, loss: 1.649696, test acc: 0.852107, test avg acc: 0.802471
Train 25, loss: 1.614998, train acc: 0.889658, train avg acc: 0.827050
Test 25, loss: 1.597101, test acc: 0.876823, test avg acc: 0.828558
Train 26, loss: 1.610138, train acc: 0.891083, train avg acc: 0.832244
Test 26, loss: 1.532175, test acc: 0.906402, test avg acc: 0.857343
Train 27, loss: 1.605104, train acc: 0.894748, train avg acc: 0.835462
Test 27, loss: 1.528844, test acc: 0.900324, test avg acc: 0.849872
Train 28, loss: 1.608149, train acc: 0.891287, train avg acc: 0.831934
Test 28, loss: 1.603743, test acc: 0.876013, test avg acc: 0.847506
Train 29, loss: 1.602205, train acc: 0.892610, train avg acc: 0.831723
Test 29, loss: 1.541808, test acc: 0.899514, test avg acc: 0.847762
Train 30, loss: 1.596275, train acc: 0.894137, train avg acc: 0.837558
Test 30, loss: 1.568865, test acc: 0.884522, test avg acc: 0.856977
Train 31, loss: 1.599306, train acc: 0.892305, train avg acc: 0.831018
Test 31, loss: 1.562143, test acc: 0.885737, test avg acc: 0.851262
Train 32, loss: 1.595935, train acc: 0.897496, train avg acc: 0.840544
Test 32, loss: 1.542062, test acc: 0.891815, test avg acc: 0.848523
Train 33, loss: 1.593180, train acc: 0.897191, train avg acc: 0.842070
