Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	3.275000	10.570000	22.333000	3.017000	17.379000	27.188000	
1.000000	0.099990	2.830000	20.133000	36.930000	2.577000	30.427000	41.734000	
2.000000	0.099977	2.531000	29.209000	48.382000	2.504000	36.764000	46.799000	
3.000000	0.099958	2.306000	38.844000	57.431000	2.048000	55.152000	67.464000	
4.000000	0.099935	2.174000	45.505000	63.019000	2.000000	57.519000	68.882000	
5.000000	0.099906	2.081000	51.435000	67.722000	1.912000	65.348000	74.676000	
6.000000	0.099872	2.007000	55.792000	70.623000	1.857000	65.417000	75.567000	
7.000000	0.099833	1.958000	59.457000	73.046000	1.849000	65.723000	74.392000	
8.000000	0.099789	1.920000	61.122000	74.481000	1.721000	74.073000	82.577000	
9.000000	0.099740	1.878000	64.250000	76.374000	1.757000	70.644000	79.295000	
10.000000	0.099685	1.856000	65.736000	77.341000	1.707000	72.514000	82.131000	
11.000000	0.099625	1.835000	67.149000	78.685000	1.714000	71.361000	80.713000	
12.000000	0.099561	1.807000	69.030000	79.947000	1.699000	74.100000	82.172000	
13.000000	0.099490	1.794000	70.322000	80.415000	1.656000	76.930000	83.266000	
14.000000	0.099415	1.777000	71.464000	81.301000	1.669000	75.424000	84.400000	
15.000000	0.099335	1.764000	71.959000	81.657000	1.601000	80.802000	86.994000	
16.000000	0.099249	1.758000	72.488000	82.054000	1.606000	78.987000	86.588000	
17.000000	0.099159	1.744000	73.344000	82.685000	1.628000	78.007000	85.373000	
18.000000	0.099063	1.745000	72.758000	82.339000	1.615000	79.699000	86.669000	
19.000000	0.098962	1.733000	74.401000	83.255000	1.578000	81.234000	88.088000	
20.000000	0.098856	1.714000	74.991000	83.744000	1.609000	77.606000	86.183000	
21.000000	0.098745	1.723000	74.876000	83.296000	1.680000	78.052000	83.995000	
22.000000	0.098629	1.708000	75.738000	84.151000	1.608000	81.835000	86.588000	
23.000000	0.098508	1.700000	75.702000	84.273000	1.574000	82.006000	87.601000	
24.000000	0.098381	1.697000	76.366000	84.589000	1.675000	78.606000	84.238000	
25.000000	0.098250	1.690000	76.753000	84.772000	1.597000	80.306000	86.507000	
26.000000	0.098114	1.690000	76.506000	84.782000	1.568000	81.593000	87.601000	
27.000000	0.097973	1.684000	76.985000	84.884000	1.583000	82.323000	86.669000	
28.000000	0.097826	1.687000	77.916000	85.291000	1.562000	81.344000	87.885000	
29.000000	0.097675	1.685000	76.634000	84.853000	1.567000	82.223000	88.331000	
30.000000	0.097519	1.673000	78.314000	85.708000	1.573000	81.048000	87.480000	
31.000000	0.097358	1.667000	78.170000	85.729000	1.585000	80.702000	87.763000	
32.000000	0.097192	1.671000	78.489000	85.759000	1.576000	81.133000	88.452000	
33.000000	0.097021	1.665000	78.217000	85.688000	1.575000	79.165000	87.439000	
34.000000	0.096845	1.656000	79.085000	86.401000	1.561000	81.042000	88.452000	
35.000000	0.096664	1.653000	79.449000	86.533000	1.550000	82.448000	88.655000	
36.000000	0.096479	1.662000	78.300000	85.790000	1.552000	82.670000	88.776000	
