Model,Dataset,GFLOPs,GPU_Memory_Used,Parameters,InferenceTime_ms,NumPoints,BatchSize,Worker,GPU_Name,GPU_TotalMem_GB,GPU_ComputeCapability
slnet_embed_dim_16,ModelNet40,0.312294272,19.61474609375,140992,0.9500893079317533,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
slnet_embed_dim_32,ModelNet40,1.218656,32.09375,548160,1.7592705197823353,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointnet,ModelNet40,0.44711296,30.203125,3471473,0.5367873089435773,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointnet2_ssg,ModelNet40,0.856534528,34.15087890625,1475688,5.070540721599873,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointnet2_msg,ModelNet40,3.996888576,107.99169921875,1747368,8.601338447668613,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
dgcnn,ModelNet40,2.686070272,86.2197265625,1809576,6.052959417685484,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
curvenet,ModelNet40,0.32836416,29.45166015625,2140672,11.698087924566025,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointmlp_elite,ModelNet40,0.911683072,26.681640625,716232,1.7034163918250647,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointmlp,ModelNet40,15.670906368,94.802734375,13238504,5.961988381850413,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
apes_global,ModelNet40,5.489832448,90.81884765625,4493096,8.496348582781279,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
apes_local,ModelNet40,7.383560704,90.81884765625,4493096,11.715891263423822,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
slnet_embed_dim_16,ScanObjectNN,0.261248896,16.8720703125,123655,0.9422546048740764,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
slnet_embed_dim_32,ScanObjectNN,1.020047104,26.47314453125,480743,1.6995570882336124,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointnet,ScanObjectNN,0.44710656,30.1787109375,3465048,0.5225847579620697,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointnet2_ssg,ScanObjectNN,0.856528128,34.12646484375,1469263,5.025959261171111,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointnet2_msg,ScanObjectNN,3.996882176,107.96728515625,1740943,8.52422319139753,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
dgcnn,ScanObjectNN,2.686063872,86.1953125,1803151,6.237080867473896,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
curvenet,ScanObjectNN,0.32835136,29.40283203125,2127847,11.840964485000779,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointmlp_elite,ScanObjectNN,0.911683072,26.681640625,716232,1.6414571908804088,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointmlp,ScanObjectNN,15.670906368,94.802734375,13238504,5.95979382441594,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
apes_global,ScanObjectNN,5.489826048,90.79443359375,4486671,8.527033756067464,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
apes_local,ScanObjectNN,7.383554304,90.79443359375,4486671,11.95364706332867,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
slnet_embed_dim_16,Shapenet,0.909395328,46.8681640625,1240152,3.3033101267284817,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
slnet_embed_dim_32,Shapenet,2.333795712,49.4560546875,1901208,4.378031916088528,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointnet,Shapenet,5.789998336,124.38818359375,8342395,1.904876058631473,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointnet2_ssg,Shapenet,1.128169472,42.20751953125,1406864,5.743403037389119,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointnet2_msg,Shapenet,4.817911808,111.96435546875,1736572,9.813882711198595,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
dgcnn,Shapenet,4.96149184,157.26611328125,1460361,9.863226074642606,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
curvenet,Shapenet,2.562909632,106.02587890625,5533958,15.139875878228082,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
pointmlp,Shapenet,6.26252992,121.04541015625,16755594,4.425236095322503,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
apes_global,Shapenet,15.567422592,148.505859375,1981056,13.595792219373916,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
apes_local,Shapenet,18.371314816,148.505859375,1981056,16.966178046332466,2048,32,6,NVIDIA GeForce RTX 2080 Ti,11.54,7.5
